image,feature_map
9962a4d44388b9008aa0f466e4f4052c_jpg.rf.5335c3722d3fe9b709488d492cd5c49f.jpg,9962a4d44388b9008aa0f466e4f4052c_jpg.rf.5335c3722d3fe9b709488d492cd5c49f.txt
f1ea0167087976926d4fe0aa36b961ce_jpg.rf.7cfb591bdf3cb30001cfecb3b153724e.jpg,f1ea0167087976926d4fe0aa36b961ce_jpg.rf.7cfb591bdf3cb30001cfecb3b153724e.txt
IMG_0298_JPG.rf.6d6ac51367b303c05c261e7e8b11de67.jpg,IMG_0298_JPG.rf.6d6ac51367b303c05c261e7e8b11de67.txt
IMG_0292_JPG.rf.5eba9597d38f1d22018bb5d619ef742e.jpg,IMG_0292_JPG.rf.5eba9597d38f1d22018bb5d619ef742e.txt
ea799d77875c399618c45cd9409f34ee_jpg.rf.20f1e302ce66ba51ba16dd954123378d.jpg,ea799d77875c399618c45cd9409f34ee_jpg.rf.20f1e302ce66ba51ba16dd954123378d.txt
beb11566e59775b61f0ca369952067cc_jpg.rf.56493b995a4c4ae16d241c7e1120a53e.jpg,beb11566e59775b61f0ca369952067cc_jpg.rf.56493b995a4c4ae16d241c7e1120a53e.txt
79e744a68d6e6f83be0a9e8761ea66a4_jpg.rf.1c2b3f87f6a51fb881178db2db0b228c.jpg,79e744a68d6e6f83be0a9e8761ea66a4_jpg.rf.1c2b3f87f6a51fb881178db2db0b228c.txt
3e8fb24addda1a0945bd6b7777bc4018_jpg.rf.bc9daf0bd452e0c7dfd9167761e02135.jpg,3e8fb24addda1a0945bd6b7777bc4018_jpg.rf.bc9daf0bd452e0c7dfd9167761e02135.txt
3aafc2d38807dddd1b43a54cb70f500d_jpg.rf.ed2b0d06c11e2ecfad6a696932579d82.jpg,3aafc2d38807dddd1b43a54cb70f500d_jpg.rf.ed2b0d06c11e2ecfad6a696932579d82.txt
4894f034a55eaa9252cd261a62b11d27_jpg.rf.e153d650cc91ee8985dbc0f9b5050e98.jpg,4894f034a55eaa9252cd261a62b11d27_jpg.rf.e153d650cc91ee8985dbc0f9b5050e98.txt
a932287da44b9dfacd0d16a5c1d27923_jpg.rf.e6af160c98e230c8130c17ccd6787efa.jpg,a932287da44b9dfacd0d16a5c1d27923_jpg.rf.e6af160c98e230c8130c17ccd6787efa.txt
92992ff9c823e0420bf17e71db9ef4ef_jpg.rf.b3fc57a580cfbb9c3847712a48fa46a9.jpg,92992ff9c823e0420bf17e71db9ef4ef_jpg.rf.b3fc57a580cfbb9c3847712a48fa46a9.txt
